pt,NMB_mean,NMB_lo,NMB_hi,Pr_pos,Pr_ge_1saca,NMB_trat_mean,NMB_trat_lo,NMB_trat_hi,Pr_trat_pos,PPV,PPV_req_med,PPV_req_lo,PPV_req_hi
0.05,-8.336908546482931,-27.119787955816506,22.078619481881297,0.2251,0.0527,-8.336908546482931,-27.119787955816506,22.078619481881297,0.2251,0.4,0.6403271173360567,0.30365146276461974,1
0.060000000000000005,-8.286549452453853,-26.883839607715423,21.745808782645863,0.2258,0.0537,-8.286549452453853,-26.883839607715423,21.745808782645863,0.2258,0.4,0.6419379776046628,0.3014567959367432,1
0.07,-8.444863493929684,-26.92122221652266,21.204968321528735,0.2171,0.0503,-8.512967231783959,-27.13832884730107,21.37597613057332,0.2171,0.4032258064516129,0.645757753794785,0.3081996890109817,1
0.08,-6.93869946052903,-25.28463169035175,22.01037452627707,0.2468,0.0576,-7.3503172251366875,-26.784567468592957,23.316074710039256,0.2468,0.423728813559322,0.6404854573391368,0.3071495100866243,1
0.09,-5.580689621490267,-24.06480580005617,24.05952988002873,0.28,0.07,-6.173329227312242,-26.620360398292227,26.6145242035716,0.28,0.4424778761061947,0.6377723731562871,0.3019813138125427,1
0.1,-4.517148925575291,-22.055713346170034,23.993081066843157,0.3043,0.0691,-5.277043137354313,-25.766020264217328,28.02930031173266,0.3043,0.45794392523364486,0.6278574907908889,0.3052476465134722,1
0.11,-3.174240125463696,-20.5132304126075,25.560337413671277,0.3361,0.0791,-3.9285150067619967,-25.387661401741955,31.634080957513966,0.3361,0.46534653465346537,0.6039951837264206,0.29549392992246526,1
0.12000000000000001,-2.587332511651756,-19.83278115613258,26.14347347672991,0.3487,0.0869,-3.266833979358277,-25.041390348652243,33.00943620799231,0.3487,0.46464646464646464,0.5872437703658026,0.28628508940556763,1
0.13,-1.7985241157057643,-18.75220077540115,25.98475901521658,0.3762,0.0909,-2.3664790996128464,-24.673948388685726,34.19047238844288,0.3762,0.4842105263157895,0.5874257807824661,0.2894944013757397,1
0.14,-1.3747393841251565,-18.62418435211206,26.29029779015989,0.385,0.0976,-1.8281108831451551,-24.76620259589369,34.96050238053176,0.385,0.48936170212765956,0.5804306761815397,0.2840890620331404,1
0.15000000000000002,-0.996590468542303,-18.148355912077307,27.26642997494103,0.3973,0.103,-1.3689429512943736,-24.92906031878751,37.4538873282157,0.3973,0.5054945054945055,0.5931801584875833,0.2854261124045826,1
0.16,-0.2309958245735662,-17.112293416003258,27.9369423293579,0.4184,0.10780000000000001,-0.32811906899654525,-24.307234965913725,39.68315671783793,0.4184,0.5227272727272727,0.5954662392678802,0.28774316955918383,1
0.16999999999999998,1.0985664767929375,-16.05713009182883,28.732801740773823,0.47,0.126,1.6347715428466352,-23.894538827126233,42.7571454475801,0.47,0.5357142857142857,0.5613724945875572,0.276844645223581,1
0.18,1.135433131916977,-15.910179874183791,28.075195406177347,0.4736,0.1231,1.7099896565014723,-23.961114268349082,42.28192079243577,0.4736,0.54216867469879515,0.5664043865465009,0.2787566930346487,1
0.19,1.3170992995940114,-15.555650215024576,29.502352813504043,0.4808,0.128,2.0077733225518513,-23.71288142534234,44.97309880107325,0.4808,0.5487804878048781,0.5657722644769703,0.27910436772986885,1
0.2,1.7193082441434027,-15.082643719601366,29.067897122045178,0.4983,0.1267,2.6864191314740684,-23.56663081187713,45.41858925319558,0.4983,0.5625,0.5652147267350238,0.2813229023917473,1
0.21000000000000002,1.9679467506249981,-15.054441848922561,30.316629988243537,0.4978,0.135,3.0749167978515612,-23.5225653889415,47.36973435663053,0.4978,0.5625,0.5647813300539897,0.27606963563118614,1
0.22000000000000003,3.0175339717286462,-13.993807817354273,30.43217142349491,0.5501,0.1482,4.8985941099491015,-22.717220482717977,49.40287568749173,0.5501,0.5584415584415584,0.5184460930515215,0.26381318332287373,1
0.22999999999999998,3.2310572395249486,-13.753143158730362,30.450408369757614,0.5527,0.1527,5.314238880797614,-22.62030124791178,50.082908502890824,0.5527,0.5657894736842105,0.5226823350595622,0.2646283151970911,1
0.24,4.635335614025765,-11.857168103893589,31.479674649101714,0.6136,0.1695,8.04745766323917,-20.58536129148193,54.652212932468245,0.6136,0.5694444444444444,0.48371539643169814,0.2530505556474662,1
0.25,5.734938213222335,-10.719070422424645,31.979563542443984,0.6577,0.1912,10.542165833129296,-19.70417357063354,58.78596239419849,0.6577,0.5882352941176471,0.4652369020415745,0.2447256335801417,1
0.26,6.083819747370631,-10.177362329270517,31.091445075072006,0.677,0.1972,11.522385885171653,-19.27530744180022,58.88531264218183,0.677,0.5909090909090909,0.45612665154833687,0.2401908466583985,0.9999327818936478
0.27,6.303589411443783,-10.056521838063137,32.41044312423162,0.6851,0.2014,11.938616309552623,-19.046442875119578,61.383415008014445,0.6851,0.5909090909090909,0.44932065507586805,0.23871733471953097,0.9897859664377454
0.28,6.117593287404557,-10.361472302979143,31.942032658337837,0.6778,0.1945,11.586350923114695,-19.62400057382413,60.4962739741247,0.6778,0.5909090909090909,0.4536516866888066,0.24065078004216559,1
0.29,6.903791370997343,-9.801682674203873,32.59672231851665,0.7063,0.2111,13.697998751978858,-19.447783083737846,64.67603634626322,0.7063,0.6190476190476191,0.45014451463094896,0.23680285650379135,1
0.3,6.890806175878043,-9.614965181950094,33.27378781743292,0.7024,0.2151,13.6722344759485,-19.077311868948602,66.01942027268437,0.7024,0.6190476190476191,0.45409011841233293,0.23872073929538942,1
0.31,7.09047594913287,-9.333985940847928,33.818408481595995,0.7111,0.2175,14.295314413574333,-18.818520042032105,68.18227516450806,0.7111,0.6290322580645161,0.4521964576011823,0.23728732639649847,1
0.32,7.046943413834501,-9.319399368504223,32.516085040312454,0.7082,0.2157,14.207547205311492,-18.789111630048836,65.55662306514608,0.7082,0.6290322580645161,0.45279425315385713,0.23840276294500987,1
0.33,7.071207801651904,-9.467226189400076,32.6854032813633,0.7141,0.217,14.256467342040128,-19.08714957540338,65.89799048661955,0.7141,0.6290322580645161,0.45064186533772344,0.24040657854464773,1
0.33999999999999997,7.373779659553714,-8.871453345203465,32.676954465800826,0.7256,0.2216,15.110204220396957,-18.17920767459727,66.9609722659853,0.7256,0.639344262295082,0.44894227026840894,0.23995426548560297,0.9893599732744551
0.35,7.434794858155564,-8.802648363528771,32.603076991354385,0.7242,0.2236,15.489155954490755,-18.338850757351604,67.92307706532162,0.7242,0.6333333333333333,0.4405118664029058,0.23419740293010993,0.9834272708790639
0.36,7.405405627988256,-8.612825316415982,32.74935336867122,0.7312,0.2195,15.427928391642197,-17.94338607586663,68.22781951806505,0.7312,0.6333333333333333,0.4444486577495734,0.23727928069051898,0.9707808687584558
0.37,7.481369971916509,-8.698589309507028,32.88965568234944,0.7355,0.2204,15.8503601099926,-18.429214638786082,69.68147390328272,0.7355,0.6440677966101694,0.44396592248229133,0.23660289834337808,0.9969700818834758
0.38,8.136582178490785,-7.814124762486508,33.335880842126564,0.7563,0.2439,17.84338197037453,-17.136238514224793,73.1050018467688,0.7563,0.6666666666666666,0.4409639762731868,0.23498359736944197,0.9805334590627506
0.39,8.082477189491806,-7.981112941143071,33.46097299967508,0.7474,0.2372,17.724730678710102,-17.50244066040147,73.37932675367344,0.7474,0.6666666666666666,0.44445973936342836,0.23239829565138287,0.9829786024557291
0.4,8.664276716892466,-7.635468125955881,33.94308271478273,0.7757,0.2544,19.691537992937423,-17.353336649899727,77.1433698063244,0.7757,0.6909090909090909,0.4396976765435164,0.23406107184717562,0.9853739033945996
0.41,8.879133856820554,-7.161603508474009,33.98257223730803,0.7863,0.2604,20.553550594492027,-16.57778589924539,78.66336166043524,0.7863,0.7037037037037037,0.4392498287046923,0.23427338563586345,0.9783964395273227
0.42,9.411040422049764,-6.500800576667897,34.28157263714327,0.8064,0.275,23.06627554423962,-15.933334746735042,84.02346234593938,0.8064,0.7450980392156863,0.4434564116390496,0.23354926021765024,0.9790478008321024
0.43,10.022609141437233,-6.270259050860622,35.17092708923678,0.818,0.2946,25.567880462850084,-15.995558803215873,89.72175277866523,0.818,0.7755102040816326,0.43817752274530364,0.23298232709656858,0.9961769945664313
0.44,10.22375494061583,-5.759189961494365,34.65810409206248,0.836,0.2969,26.624361824520395,-14.997890524724907,90.25547940641273,0.836,0.7708333333333334,0.4224755577068508,0.23018747008639642,0.9463906133044312
0.45,10.0082186145706,-5.736741811355327,34.63102761303591,0.8364,0.2915,26.06306930877761,-14.939431800404499,90.18496774228105,0.8364,0.7708333333333334,0.43118379982440386,0.23159865516203668,0.9477179485630894
0.46,10.077030276898864,-5.404563788586672,35.41951008456897,0.8365,0.287,26.242266346090798,-14.07438486611112,92.2383075118984,0.8365,0.7708333333333334,0.42888251972870317,0.23374262838647863,0.9340950078953648
0.47,10.575976928203726,-5.272825275502701,35.24038864389233,0.853,0.3001,28.739067739684042,-14.32832955299647,95.76192566275088,0.853,0.8043478260869565,0.4266735898765286,0.2304278545920813,0.9445355215743474
0.48,10.750520380548016,-4.462438905365458,34.6609598054351,0.8741,0.3049,30.541251081102306,-12.677383253879148,98.46863581089515,0.8741,0.7954545454545454,0.41101587240187637,0.22203040531990073,0.8667013851451626
0.49,10.704955020271099,-4.706160056079589,34.3974799441449,0.8717,0.304,30.411804034861063,-13.369772886589748,97.72011347768434,0.8717,0.7954545454545454,0.4146071949649205,0.2236376119175628,0.8832906984041239
0.5,11.43691646001394,-3.6949346152980187,34.88745912690411,0.8942,0.3224,34.03844184527958,-10.99682921219648,103.83172359197651,0.8942,0.8095238095238095,0.3921696226534101,0.2145390470207076,0.8245956465580446
0.51,11.77876293353513,-3.3984487095709928,36.37752417594325,0.9063,0.336,35.910862602241245,-10.36112411454571,110.90708590226599,0.9063,0.8292682926829268,0.3927638508549686,0.21415768407138927,0.809088686439704
0.52,11.849138247126849,-3.3283180859166324,34.2941032161687,0.913,0.3412,37.02855702227139,-10.400994018489476,107.16907255052713,0.913,0.825,0.3807476543774574,0.2114857260424165,0.7801131306394952
0.53,12.158210287466028,-3.0476545368232584,34.82480489226536,0.9222,0.3482,38.96862271623726,-9.768123515459166,111.61796439828642,0.9222,0.8205128205128205,0.368186927456832,0.20362488373984527,0.7552120726918015
0.54,12.2643161576272,-2.844181043112014,35.05475792210019,0.9226,0.3554,39.30870563342051,-9.11596488176928,112.35499334006468,0.9226,0.8205128205128205,0.36546501131450204,0.20469144670885175,0.7502358795919696
0.55,12.103981238269665,-2.972989879815838,34.79594851263662,0.9208,0.3519,38.79481166112072,-9.528813717358453,111.52547600204042,0.9208,0.8205128205128205,0.36958032404901353,0.20324872813127873,0.7560479412954975
0.56,12.243023987147893,-2.78049158414337,35.0406976352248,0.924,0.3566,39.24046149726889,-8.911832000459524,112.30992831802821,0.924,0.8205128205128205,0.3638799619414872,0.20366124213057213,0.7471496938862201
0.5700000000000001,12.274410726305357,-2.5767317193538473,33.9914158330175,0.9289,0.3607,40.37635107337288,-8.47609118208503,111.81386787176807,0.9289,0.8157894736842105,0.3541989528986016,0.20139391009465155,0.7263210561923277
0.5800000000000001,12.423194505728237,-1.7173177376191973,33.912357523114736,0.9447,0.3568,43.136092033778596,-5.962908811177769,117.75124139970396,0.9447,0.8055555555555556,0.3381179653387243,0.18955961045101574,0.6699016842202792
0.5900000000000001,12.094154263403805,-1.790741253547811,32.59659165542674,0.943,0.3398,43.19340808358502,-6.395504476956467,116.41639876938122,0.943,0.8,0.3338462703253611,0.19060222775737135,0.6667295605426228
0.6,12.369473162269017,-1.5706013602163165,32.867881627573944,0.9467,0.3592,45.476004273047856,-5.774269706677632,120.83780010137478,0.9467,0.8235294117647058,0.3333593954849986,0.18995546606044403,0.6689617497194505
